Question,Option A,Option B,Option C,Option D,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,C
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
Who wrote 'Hamlet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,B
How many continents are there?,5,6,7,8,C
What is the smallest prime number?,0,1,2,3,C
Which element has the chemical symbol 'O'?,Osmium,Oxygen,Oxide,Organium,B
In which year did the Titanic sink?,1912,1920,1898,1905,A
What is H2O more commonly known as?,Oxygen,Hydrogen,Water,Steam,C
Which language is primarily spoken in Brazil?,Spanish,Portuguese,French,English,B
Who painted the Mona Lisa?,Van Gogh,Michelangelo,Leonardo da Vinci,Picasso,C
Which country gifted the Statue of Liberty to the USA?,Germany,Italy,France,Canada,C
What is the hardest natural substance on Earth?,Iron,Diamond,Gold,Quartz,B
How many legs does a spider have?,6,8,10,12,B
Which ocean is the largest?,Indian,Atlantic,Arctic,Pacific,D
What is the chemical symbol for gold?,Go,Au,Ag,Gd,B
What planet is closest to the sun?,Earth,Venus,Mercury,Mars,C
Who is the author of '1984'?,Aldous Huxley,George Orwell,F. Scott Fitzgerald,J.K. Rowling,B
What is the boiling point of water in Celsius?,90,95,100,105,C
"Which instrument has keys, pedals, and strings?",Guitar,Piano,Violin,Flute,B
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Gregor Mendel,B
What is the capital of Japan?,Kyoto,Seoul,Tokyo,Osaka,C
What is the main ingredient in guacamole?,Tomato,Pepper,Avocado,Cucumber,C
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,D
How many players are there in a soccer team (on field)?,9,10,11,12,C
Which metal is liquid at room temperature?,Mercury,Iron,Copper,Aluminum,A
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Albert Einstein,C
What is the largest desert in the world?,Sahara,Arctic,Gobi,Kalahari,A
What currency is used in Japan?,Yuan,Won,Yen,Dollar,C
Which human organ is capable of regenerating itself?,Liver,Heart,Lung,Kidney,A
Which company created the iPhone?,Samsung,Apple,Google,Microsoft,B
Who is known as the 'Father of Computers'?,Alan Turing,Bill Gates,Charles Babbage,Steve Jobs,C
Which continent is Egypt in?,Asia,Africa,Europe,Middle East,B
What is the square root of 64?,6,7,8,9,C
What does DNA stand for?,Digital Network Array,Deoxyribonucleic Acid,Dynamic Neural Architecture,None,B
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B
What gas do humans exhale?,Oxygen,Hydrogen,Carbon Dioxide,Methane,C
Which is the largest internal organ in the human body?,Heart,Liver,Stomach,Lung,B
What is the freezing point of water?,0째C,32째C,100째C,4째C,A
Which country is known for inventing pizza?,Spain,Italy,France,Greece,B
Which bird is known for mimicking human speech?,Parrot,Crow,Sparrow,Eagle,A
What is the name of the largest moon of Saturn?,Titan,Europa,Ganymede,Io,A
What is the full meaning of Wi-Fi?,Wireless Fidelity,Wired Fire,Wide Filter,Wave Frequency,A
What is the human body's largest organ?,Liver,Heart,Skin,Lung,C
What type of animal is a Komodo dragon?,Lizard,Snake,Mammal,Bird,A
What color do you get when you mix red and blue?,Purple,Green,Orange,Brown,A
Which month has the fewest days?,January,February,March,April,B
What device do you use to measure temperature?,Thermostat,Thermometer,Hygrometer,Barometer,B
What does 'www' stand for?,World Web Window,Web Wide Web,World Wide Web,Wide Web World,C
